IDTelefonu,Cena,Datum
1,14747,2021-12-1
2,3566,2021-12-1
3,16051,2021-12-1
4,4817,2021-12-1
5,24675,2021-12-1
6,22082,2021-12-1
1,12297,2021-12-2
2,4120,2021-12-2
3,16079,2021-12-2
4,5314,2021-12-2
5,24292,2021-12-2
6,21815,2021-12-2
1,14441,2021-12-3
2,5104,2021-12-3
3,15617,2021-12-3
4,5825,2021-12-3
5,23546,2021-12-3
6,20948,2021-12-3
1,12443,2021-12-4
2,4480,2021-12-4
3,17071,2021-12-4
4,4928,2021-12-4
5,23834,2021-12-4
6,22644,2021-12-4
1,13136,2021-12-5
2,4960,2021-12-5
3,18620,2021-12-5
4,5038,2021-12-5
5,23969,2021-12-5
6,22106,2021-12-5
1,11538,2021-12-6
2,3805,2021-12-6
3,17073,2021-12-6
4,4948,2021-12-6
5,23050,2021-12-6
6,20300,2021-12-6
1,13164,2021-12-7
2,5388,2021-12-7
3,17274,2021-12-7
4,5382,2021-12-7
5,23727,2021-12-7
6,20231,2021-12-7
1,14265,2021-12-8
2,4333,2021-12-8
3,16706,2021-12-8
4,5498,2021-12-8
5,23540,2021-12-8
6,20562,2021-12-8
1,14691,2021-12-9
2,4897,2021-12-9
3,18866,2021-12-9
4,4690,2021-12-9
5,24366,2021-12-9
6,22901,2021-12-9
1,14403,2021-12-10
2,4920,2021-12-10
3,18187,2021-12-10
4,5705,2021-12-10
5,23282,2021-12-10
6,21890,2021-12-10
1,14554,2021-12-11
2,3044,2021-12-11
3,19848,2021-12-11
4,5798,2021-12-11
5,24959,2021-12-11
6,22390,2021-12-11
1,13331,2021-12-12
2,5336,2021-12-12
3,16124,2021-12-12
4,5756,2021-12-12
5,24061,2021-12-12
6,20737,2021-12-12
1,13665,2021-12-13
2,4568,2021-12-13
3,14714,2021-12-13
4,5326,2021-12-13
5,23479,2021-12-13
6,21204,2021-12-13
1,13016,2021-12-14
2,4971,2021-12-14
3,17899,2021-12-14
4,5629,2021-12-14
5,24526,2021-12-14
6,21329,2021-12-14
1,11938,2021-12-15
2,3381,2021-12-15
3,16721,2021-12-15
4,5331,2021-12-15
5,24282,2021-12-15
6,22490,2021-12-15
1,11508,2021-12-16
2,4994,2021-12-16
3,18654,2021-12-16
4,5632,2021-12-16
5,23576,2021-12-16
6,21420,2021-12-16
1,12026,2021-12-17
2,5156,2021-12-17
3,17858,2021-12-17
4,5874,2021-12-17
5,24764,2021-12-17
6,22338,2021-12-17
1,15022,2021-12-18
2,3141,2021-12-18
3,19088,2021-12-18
4,4940,2021-12-18
5,24718,2021-12-18
6,21211,2021-12-18
1,12650,2021-12-19
2,3087,2021-12-19
3,16405,2021-12-19
4,5628,2021-12-19
5,24127,2021-12-19
6,20279,2021-12-19
1,14708,2021-12-20
2,3631,2021-12-20
3,17152,2021-12-20
4,5201,2021-12-20
5,23347,2021-12-20
6,20499,2021-12-20
1,13038,2021-12-21
2,4566,2021-12-21
3,19588,2021-12-21
4,5348,2021-12-21
5,23047,2021-12-21
6,22950,2021-12-21
1,12452,2021-12-22
2,3278,2021-12-22
3,15310,2021-12-22
4,4630,2021-12-22
5,24546,2021-12-22
6,20065,2021-12-22
1,12981,2021-12-23
2,5338,2021-12-23
3,19378,2021-12-23
4,5040,2021-12-23
5,23887,2021-12-23
6,21554,2021-12-23
1,13556,2021-12-24
2,4819,2021-12-24
3,15239,2021-12-24
4,4984,2021-12-24
5,24771,2021-12-24
6,20089,2021-12-24
1,11756,2021-12-25
2,4422,2021-12-25
3,16346,2021-12-25
4,4517,2021-12-25
5,24052,2021-12-25
6,20838,2021-12-25
1,13278,2021-12-26
2,3093,2021-12-26
3,18886,2021-12-26
4,5663,2021-12-26
5,24870,2021-12-26
6,21877,2021-12-26
1,11503,2021-12-27
2,3855,2021-12-27
3,15431,2021-12-27
4,5980,2021-12-27
5,24152,2021-12-27
6,21809,2021-12-27
1,12537,2021-12-28
2,3544,2021-12-28
3,18159,2021-12-28
4,4678,2021-12-28
5,24096,2021-12-28
6,22575,2021-12-28
1,15444,2021-12-29
2,4268,2021-12-29
3,19288,2021-12-29
4,5845,2021-12-29
5,22997,2021-12-29
6,22295,2021-12-29
1,14624,2021-12-30
2,3634,2021-12-30
3,14806,2021-12-30
4,4952,2021-12-30
5,24190,2021-12-30
6,20308,2021-12-30
1,15399,2021-12-31
2,5151,2021-12-31
3,15487,2021-12-31
4,5115,2021-12-31
5,23208,2021-12-31
6,22483,2021-12-31
